"No.","Time","Source","Destination","Protocol","Length","Info"
"57","0.358090","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4084, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"58","0.379239","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=107, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"59","0.381441","Apple_53:af:45","IPv4mcast_fb","802.11","242","Data, SN=108, FN=0, Flags=.pm...F.C"
"60","0.383581","Apple_53:af:45","IPv6mcast_fb","802.11","262","Data, SN=109, FN=0, Flags=.p....F.C"
"61","0.383638","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=........C"
"62","0.389787","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4085, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"63","0.409786","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2554, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"64","0.413054","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1768, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"65","0.413573","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=........C"
"66","0.417848","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"67","0.421589","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4087, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"68","0.447342","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=........C"
"69","0.459892","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4088, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"70","0.463375","Espressi_77:0c:8b","Broadcast","802.11","87","Probe Request, SN=2027, FN=0, Flags=........C, SSID=AdventurousMoose"
"71","0.471346","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"72","0.481763","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=110, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"73","0.484996","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4089, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"74","0.488595","","Broadcom_08:e6:6e (e0:3e:44:08:e6:6e) (RA)","802.11","39","Clear-to-send, Flags=........C"
"75","0.492191","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","802.11","125","QoS Data, SN=928, FN=0, Flags=.p.....TC"
"76","0.492335","","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","39","Acknowledgement, Flags=........C"
"77","0.492456","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","45","Request-to-send, Flags=........C"
"78","0.492506","","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","39","Clear-to-send, Flags=........C"
"79","0.492555","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","802.11","130","QoS Data, SN=1858, FN=0, Flags=.p....F.C"
"80","0.492664","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (TA)","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"81","0.511996","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2555, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"82","0.515262","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1769, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
