"No.","Time","Source","Destination","Protocol","Length","Info"
"1187","5.882918","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3198, FN=0, Flags=.p....F.C"
"1188","5.883140","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3199, FN=0, Flags=.p....F.C"
"1189","5.883360","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3200, FN=0, Flags=.p....F.C"
"1190","5.883578","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3201, FN=0, Flags=.p....F.C"
"1191","5.883798","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3202, FN=0, Flags=.p....F.C"
"1192","5.884230","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3203, FN=0, Flags=.p....F.C"
"1193","5.884380","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3204, FN=0, Flags=.p....F.C"
"1194","5.884577","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3205, FN=0, Flags=.p....F.C"
"1195","5.884802","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3206, FN=0, Flags=.p....F.C"
"1196","5.885021","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3207, FN=0, Flags=.p....F.C"
"1197","5.885237","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3208, FN=0, Flags=.p....F.C"
"1198","5.885475","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3209, FN=0, Flags=.p....F.C"
"1199","5.885680","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3210, FN=0, Flags=.p....F.C"
"1200","5.885914","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3211, FN=0, Flags=.p....F.C"
"1201","5.886134","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3212, FN=0, Flags=.p....F.C"
"1202","5.890036","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"1203","5.890669","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3213, FN=0, Flags=.p....F.C"
"1204","5.890756","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3214, FN=0, Flags=.p....F.C"
"1205","5.891060","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3215, FN=0, Flags=.p....F.C"
"1206","5.891504","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3216, FN=0, Flags=.p....F.C"
"1207","5.891694","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3218, FN=0, Flags=.p....F.C"
"1208","5.891947","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3219, FN=0, Flags=.p....F.C"
"1209","5.892148","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3220, FN=0, Flags=.p....F.C"
"1210","5.892389","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3221, FN=0, Flags=.p....F.C"
"1211","5.892864","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3222, FN=0, Flags=.p....F.C"
"1212","5.893527","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3224, FN=0, Flags=.p....F.C"
"1213","5.894050","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"1214","5.895983","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3216, FN=0, Flags=.p....F.C"
"1215","5.896411","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"1216","5.897048","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3216, FN=0, Flags=.p....F.C"
"1217","5.897456","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3217, FN=0, Flags=.p....F.C"
"1218","5.897917","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3222, FN=0, Flags=.p....F.C"
"1219","5.898417","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3223, FN=0, Flags=.p....F.C"
"1220","5.899246","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3224, FN=0, Flags=.p....F.C"
"1221","5.899657","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3226, FN=0, Flags=.p....F.C"
"1222","5.900068","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3227, FN=0, Flags=.p....F.C"
"1223","5.900115","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","151","QoS Data, SN=3228, FN=0, Flags=.p....F.C"
"1224","5.900387","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3229, FN=0, Flags=.p....F.C"
"1225","5.900434","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","766","QoS Data, SN=3230, FN=0, Flags=.p....F.C"
"1226","5.900824","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3231, FN=0, Flags=.p....F.C"
"1227","5.901119","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3232, FN=0, Flags=.p....F.C"
